Entity,Code,Date,SI,Counter
Afghanistan,AFG,1 —è–,0,43831
Afghanistan,AFG,2 —è–,0,43832
Afghanistan,AFG,3 —è–,0,43833
Afghanistan,AFG,4 —è–,0,43834
Afghanistan,AFG,5 —è–,0,43835
Afghanistan,AFG,6 —è–,0,43836
Afghanistan,AFG,7 —è–,0,43837
Afghanistan,AFG,8 —è–,0,43838
Afghanistan,AFG,9 —è–,0,43839
Afghanistan,AFG,10 —è–,0,43840
Afghanistan,AFG,11 —è–,0,43841
Afghanistan,AFG,12 —è–,0,43842
Afghanistan,AFG,13 —è–,0,43843
Afghanistan,AFG,14 —è–,0,43844
Afghanistan,AFG,15 —è–,0,43845
Afghanistan,AFG,16 —è–,0,43846
Afghanistan,AFG,17 —è–,0,43847
Afghanistan,AFG,18 —è–,0,43848
Afghanistan,AFG,19 —è–,0,43849
Afghanistan,AFG,20 —è–,0,43850
Afghanistan,AFG,21 —è–,0,43851
Afghanistan,AFG,22 —è–,0,43852
Afghanistan,AFG,23 —è–,0,43853
Afghanistan,AFG,24 —è–,0,43854
Afghanistan,AFG,25 —è–,0,43855
Afghanistan,AFG,26 —è–,0,43856
Afghanistan,AFG,27 —è–,0,43857
Afghanistan,AFG,28 —è–,0,43858
Afghanistan,AFG,29 —è–,0,43859
Afghanistan,AFG,30 —è–,0,43860
Afghanistan,AFG,31 —è–,0,43861
Afghanistan,AFG,1 —Ñ–,0,43862
Afghanistan,AFG,2 —Ñ–,0,43863
Afghanistan,AFG,3 —Ñ–,0,43864
Afghanistan,AFG,4 —Ñ–,0,43865
Afghanistan,AFG,5 —Ñ–,0,43866
Afghanistan,AFG,6 —Ñ–,0,43867
Afghanistan,AFG,7 —Ñ–,0,43868
Afghanistan,AFG,8 —Ñ–,0,43869
Afghanistan,AFG,9 —Ñ–,0,43870
Afghanistan,AFG,10 —Ñ–,0,43871
Afghanistan,AFG,11 —Ñ–,0,43872
Afghanistan,AFG,12 —Ñ–,0,43873
Afghanistan,AFG,13 —Ñ–,0,43874
Afghanistan,AFG,14 —Ñ–,0,43875
Afghanistan,AFG,15 —Ñ–,0,43876
Afghanistan,AFG,16 —Ñ–,0,43877
Afghanistan,AFG,17 —Ñ–,0,43878
Afghanistan,AFG,18 —Ñ–,0,43879
Afghanistan,AFG,19 —Ñ–,0,43880
Afghanistan,AFG,20 —Ñ–,0,43881
Afghanistan,AFG,21 —Ñ–,0,43882
Afghanistan,AFG,22 —Ñ–,0,43883
Afghanistan,AFG,23 —Ñ–,0,43884
Afghanistan,AFG,24 —Ñ–,0,43885
Afghanistan,AFG,25 —Ñ–,0,43886
Afghanistan,AFG,26 —Ñ–,0,43887
Afghanistan,AFG,27 —Ñ–,0,43888
Afghanistan,AFG,28 —Ñ–,0,43889
Afghanistan,AFG,29 —Ñ–,0,43890
Afghanistan,AFG,1 –º–,19.05,43891
Afghanistan,AFG,2 –º–,21.83,43892
Afghanistan,AFG,3 –º–,21.83,43893
Afghanistan,AFG,4 –º–,21.83,43894
Afghanistan,AFG,5 –º–,21.83,43895
Afghanistan,AFG,6 –º–,21.83,43896
Afghanistan,AFG,7 –º–,21.83,43897
Afghanistan,AFG,8 –º–,21.83,43898
Afghanistan,AFG,9 –º–,21.83,43899
Afghanistan,AFG,10 –º–,21.83,43900
Afghanistan,AFG,11 –º–,21.83,43901
Afghanistan,AFG,12 –º–,21.83,43902
Afghanistan,AFG,13 –º–,21.83,43903
Afghanistan,AFG,14 –º–,32.94,43904
Afghanistan,AFG,15 –º–,32.94,43905
Afghanistan,AFG,16 –º–,32.94,43906
Afghanistan,AFG,17 –º–,32.94,43907
Afghanistan,AFG,18 –º–,36.11,43908
Afghanistan,AFG,19 –º–,36.11,43909
Afghanistan,AFG,20 –º–,36.11,43910
Afghanistan,AFG,21 –º–,36.11,43911
Afghanistan,AFG,22 –º–,36.11,43912
Afghanistan,AFG,23 –º–,36.11,43913
Afghanistan,AFG,24 –º–,44.05,43914
Afghanistan,AFG,25 –º–,53.31,43915
Afghanistan,AFG,26 –º–,53.31,43916
Afghanistan,AFG,27 –º–,53.31,43917
Afghanistan,AFG,28 –º–,61.25,43918
Afghanistan,AFG,29 –º–,61.25,43919
Afghanistan,AFG,30 –º–,61.25,43920
Afghanistan,AFG,31 –º–,61.25,43921
Afghanistan,AFG,1 –∞–,61.25,43922
Afghanistan,AFG,2 –∞–,61.25,43923
Afghanistan,AFG,3 –∞–,61.25,43924
Afghanistan,AFG,4 –∞–,61.25,43925
Afghanistan,AFG,5 –∞–,72.36,43926
Afghanistan,AFG,6 –∞–,72.36,43927
Afghanistan,AFG,7 –∞–,72.36,43928
Afghanistan,AFG,8 –∞–,72.36,43929
Afghanistan,AFG,9 –∞–,72.36,43930
Afghanistan,AFG,10 –∞–,72.36,43931
Afghanistan,AFG,11 –∞–,72.36,43932
Afghanistan,AFG,12 –∞–,76.33,43933
Afghanistan,AFG,13 –∞–,76.33,43934
Afghanistan,AFG,14 –∞–,76.33,43935
Afghanistan,AFG,15 –∞–,76.33,43936
Afghanistan,AFG,16 –∞–,76.33,43937
Afghanistan,AFG,17 –∞–,76.33,43938
Afghanistan,AFG,18 –∞–,76.33,43939
Afghanistan,AFG,19 –∞–,76.33,43940
Afghanistan,AFG,20 –∞–,76.33,43941
Afghanistan,AFG,21 –∞–,76.33,43942
Afghanistan,AFG,22 –∞–,76.33,43943
Afghanistan,AFG,23 –∞–,76.33,43944
Afghanistan,AFG,24 –∞–,76.33,43945
Afghanistan,AFG,25 –∞–,76.33,43946
Afghanistan,AFG,26 –∞–,76.33,43947
Afghanistan,AFG,27 –∞–,76.33,43948
Afghanistan,AFG,28 –∞–,76.33,43949
Afghanistan,AFG,29 –∞–,76.33,43950
Afghanistan,AFG,30 –∞–,76.33,43951
Afghanistan,AFG,1 –º–,73.56,43952
Albania,ALB,1 —è–,0,43831
Albania,ALB,2 —è–,0,43832
Albania,ALB,3 —è–,0,43833
Albania,ALB,4 —è–,0,43834
Albania,ALB,5 —è–,0,43835
Albania,ALB,6 —è–,0,43836
Albania,ALB,7 —è–,0,43837
Albania,ALB,8 —è–,0,43838
Albania,ALB,9 —è–,0,43839
Albania,ALB,10 —è–,0,43840
Albania,ALB,11 —è–,0,43841
Albania,ALB,12 —è–,0,43842
Albania,ALB,13 —è–,0,43843
Albania,ALB,14 —è–,0,43844
Albania,ALB,15 —è–,0,43845
Albania,ALB,16 —è–,0,43846
Albania,ALB,17 —è–,0,43847
Albania,ALB,18 —è–,0,43848
Albania,ALB,19 —è–,0,43849
Albania,ALB,20 —è–,0,43850
Albania,ALB,21 —è–,0,43851
Albania,ALB,22 —è–,0,43852
Albania,ALB,23 —è–,0,43853
Albania,ALB,24 —è–,0,43854
Albania,ALB,25 —è–,0,43855
Albania,ALB,26 —è–,0,43856
Albania,ALB,27 —è–,0,43857
Albania,ALB,28 —è–,0,43858
Albania,ALB,29 —è–,0,43859
Albania,ALB,30 —è–,0,43860
Albania,ALB,31 —è–,0,43861
Albania,ALB,1 —Ñ–,0,43862
Albania,ALB,2 —Ñ–,0,43863
Albania,ALB,3 —Ñ–,0,43864
Albania,ALB,4 —Ñ–,0,43865
Albania,ALB,5 —Ñ–,0,43866
Albania,ALB,6 —Ñ–,0,43867
Albania,ALB,7 —Ñ–,0,43868
Albania,ALB,8 —Ñ–,0,43869
Albania,ALB,9 —Ñ–,0,43870
Albania,ALB,10 —Ñ–,0,43871
Albania,ALB,11 —Ñ–,0,43872
Albania,ALB,12 —Ñ–,0,43873
Albania,ALB,13 —Ñ–,0,43874
Albania,ALB,14 —Ñ–,0,43875
Albania,ALB,15 —Ñ–,0,43876
Albania,ALB,16 —Ñ–,0,43877
Albania,ALB,17 —Ñ–,0,43878
Albania,ALB,18 —Ñ–,0,43879
Albania,ALB,19 —Ñ–,0,43880
Albania,ALB,20 —Ñ–,0,43881
Albania,ALB,21 —Ñ–,0,43882
Albania,ALB,22 —Ñ–,0,43883
Albania,ALB,23 —Ñ–,0,43884
Albania,ALB,24 —Ñ–,0,43885
Albania,ALB,25 —Ñ–,2.78,43886
Albania,ALB,26 —Ñ–,2.78,43887
Albania,ALB,27 —Ñ–,2.78,43888
Albania,ALB,28 —Ñ–,2.78,43889
Albania,ALB,29 —Ñ–,2.78,43890
Albania,ALB,1 –º–,2.78,43891
Albania,ALB,2 –º–,2.78,43892
Albania,ALB,3 –º–,2.78,43893
Albania,ALB,4 –º–,2.78,43894
Albania,ALB,5 –º–,2.78,43895
Albania,ALB,6 –º–,2.78,43896
Albania,ALB,7 –º–,2.78,43897
Albania,ALB,8 –º–,2.78,43898
Albania,ALB,9 –º–,36.64,43899
Albania,ALB,10 –º–,47.75,43900
Albania,ALB,11 –º–,53.31,43901
Albania,ALB,12 –º–,53.31,43902
Albania,ALB,13 –º–,80.82,43903
Albania,ALB,14 –º–,80.82,43904
Albania,ALB,15 –º–,84.39,43905
Albania,ALB,16 –º–,84.39,43906
Albania,ALB,17 –º–,84.39,43907
Albania,ALB,18 –º–,84.39,43908
Albania,ALB,19 –º–,84.39,43909
Albania,ALB,20 –º–,84.39,43910
Albania,ALB,21 –º–,84.39,43911
Albania,ALB,22 –º–,84.39,43912
Albania,ALB,23 –º–,84.39,43913
Albania,ALB,24 –º–,84.39,43914
Albania,ALB,25 –º–,84.39,43915
Albania,ALB,26 –º–,84.39,43916
Albania,ALB,27 –º–,84.39,43917
Albania,ALB,28 –º–,84.39,43918
Albania,ALB,29 –º–,84.39,43919
Albania,ALB,30 –º–,84.39,43920
Albania,ALB,31 –º–,84.39,43921
Albania,ALB,1 –∞–,84.39,43922
Albania,ALB,2 –∞–,84.39,43923
Albania,ALB,3 –∞–,84.39,43924
Albania,ALB,4 –∞–,84.39,43925
Albania,ALB,5 –∞–,84.39,43926
Albania,ALB,6 –∞–,84.39,43927
Albania,ALB,7 –∞–,84.39,43928
Albania,ALB,8 –∞–,84.39,43929
Albania,ALB,9 –∞–,84.39,43930
Albania,ALB,10 –∞–,84.39,43931
Albania,ALB,11 –∞–,84.39,43932
Albania,ALB,12 –∞–,84.39,43933
Albania,ALB,13 –∞–,84.39,43934
Albania,ALB,14 –∞–,84.39,43935
Albania,ALB,15 –∞–,84.39,43936
Albania,ALB,16 –∞–,84.39,43937
Albania,ALB,17 –∞–,84.39,43938
Albania,ALB,18 –∞–,88.36,43939
Albania,ALB,19 –∞–,88.36,43940
Albania,ALB,20 –∞–,88.36,43941
Albania,ALB,21 –∞–,88.36,43942
Albania,ALB,22 –∞–,88.36,43943
Albania,ALB,23 –∞–,88.36,43944
Albania,ALB,24 –∞–,88.36,43945
Albania,ALB,25 –∞–,88.36,43946
Albania,ALB,26 –∞–,88.36,43947
Albania,ALB,27 –∞–,88.36,43948
